wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
0.61,7.1235,6.05,6.523,97.3,19.4938,2.1129,29.09
0.612,7.0351,6.007,6.323,97.24,19.6184,#N/A,29.14
0.614,6.938,5.957,6.203,97.19,20.047,2.1068,29.19
0.616,6.8276,5.852,6.173,97.14,20.1073,2.1038,29.24
0.618,6.7068,5.762,6.138,97.09,20.2506,2.1017,29.28
0.62,6.5917,5.718,6.103,97.08,20.6806,#N/A,29.33
0.622,6.495,5.669,6.106,97.07,20.5635,2.0969,29.37
0.624,6.4216,5.61,6.098,97.06,20.9938,2.0951,29.41
0.626,6.3698,5.596,6.081,97.05,20.8431,2.0937,29.44
0.628,6.3276,5.579,6.016,97.04,21.2815,#N/A,29.49
0.63,6.2904,5.519,5.916,96.81,21.6171,2.0895,29.52
0.632,6.2538,5.474,5.832,96.7,21.4717,2.0881,29.56
0.634,6.2075,5.387,5.773,96.65,21.487,2.0855,29.60
0.636,6.146,5.238,5.665,96.6,21.6372,2.0837,29.63
0.638,6.0592,5.121,5.575,96.6,21.5812,2.0823,29.67
0.64,5.95,5.007,5.485,96.59,21.8368,2.082,29.70
0.642,5.8202,4.877,5.365,96.5,22.0736,2.0805,29.73
0.644,5.6705,4.758,5.27,96.4,22.6829,2.0787,29.76
0.646,5.5117,4.696,5.215,96.3,22.5071,2.0783,29.79
0.648,5.356,4.629,5.174,96.1,22.715,2.0765,29.83
0.65,5.212,4.567,5.155,95.98,22.795,2.0739,29.86
0.652,5.1095,4.522,5.136,95.98,23.0855,2.0721,29.89
0.654,5.046,4.453,5.057,95.98,23.2609,2.0698,29.93
0.656,4.9945,4.324,4.983,95.98,23.4261,2.0661,29.96
0.658,4.9367,4.183,4.93,95.98,23.439,2.0654,30.00
0.66,4.872,4.157,4.895,96.03,23.2387,2.0648,30.03
0.662,4.7927,4.124,4.856,96.03,23.5588,2.0632,30.07
0.664,4.712,4.053,4.791,96.03,23.5215,2.0618,30.10
0.666,4.6474,4.041,4.757,96.03,24.0624,2.0609,30.13
0.668,4.571,4.065,4.753,96.03,24.2351,2.0605,30.17
0.67,4.508,4.06,4.782,95.79,24.5089,#N/A,30.20
0.672,4.474,4.074,4.812,95.75,24.1593,#N/A,30.23
0.674,4.4548,4.111,4.822,95.7,24.1593,2.0577,30.28
0.676,4.437,4.154,4.872,95.65,24.5859,#N/A,30.31
0.678,4.4425,4.227,4.936,95.62,24.6097,#N/A,30.33
0.68,4.489,4.346,5.006,95.62,25.0799,2.0534,30.36
0.682,4.6093,4.524,5.107,95.6,25.0694,#N/A,30.39
0.684,4.799,4.748,5.177,95.55,25.0934,#N/A,30.42
0.686,5.0242,5.012,5.294,95.45,25.1797,2.0479,30.45
0.688,5.2782,5.332,5.592,95.39,25.3247,#N/A,30.47
0.69,5.6244,5.732,5.989,95.33,25.58,#N/A,30.50
0.692,6.1872,6.426,6.614,95.27,25.7076,2.0438,30.52
0.694,6.9404,7.438,7.63,95.21,25.7468,#N/A,30.55
0.696,7.7736,8.604,8.813,95.15,25.9347,#N/A,30.58
0.698,8.7253,9.726,9.95,95.09,26.5449,2.0381,30.61
0.7,9.8682,11.105,11.31,94.95,26.2068,#N/A,30.64
