lambda (nm), TOA Flux (W/m2/nm)
2667.5,0.03991357
2672.5,0.03962309
2677.5,0.0395169
2682.5,0.03924961
2687.5,0.03902691
2692.5,0.03876472
2697.5,0.03849234
2702.5,0.03821648
2707.5,0.03797326
2712.5,0.03769928
2717.5,0.03743941
2722.5,0.03719241
2727.5,0.0369529
2732.5,0.03668533
2737.5,0.03648121
2742.5,0.0362361
2747.5,0.03593013
2752.5,0.03556442
2757.5,0.03525525
2762.5,0.03501034
2767.5,0.03482786
2772.5,0.03470536
2777.5,0.0344984
2782.5,0.03429814
2787.5,0.03411917
2792.5,0.03390909
2797.5,0.03369432
2802.5,0.03346809
2807.5,0.03323906
2812.5,0.03302688
2817.5,0.03281346
2822.5,0.03259438
2827.5,0.03239269
2832.5,0.03215454
2837.5,0.03194042
2842.5,0.03171533
2847.5,0.03149189
2852.5,0.03130352
2857.5,0.0310915
2862.5,0.03079313
2867.5,0.03050679
2872.5,0.03029743
2877.5,0.03010216
2882.5,0.0299913
2887.5,0.02989932
2892.5,0.02972222
2897.5,0.02953146
2902.5,0.0293592
2907.5,0.02916395
2912.5,0.02897483
2917.5,0.02875847
2922.5,0.02856279
2927.5,0.02838216
2932.5,0.02819506
2937.5,0.02802507
2942.5,0.02785659
2947.5,0.0276771
2952.5,0.02750416
2957.5,0.02735691
2962.5,0.02719967
2967.5,0.02703728
2972.5,0.02686675
2977.5,0.02669447
2982.5,0.02651888
2987.5,0.0263257
2992.5,0.02614644
2997.5,0.02597799
3002.5,0.02582155
3007.5,0.02566413
3012.5,0.02552347
3017.5,0.02536029
3022.5,0.02518242
3027.5,0.02493471
3032.5,0.02468745
3037.5,0.0245232
3042.5,0.02437761
3047.5,0.02425271
3052.5,0.02421621
3057.5,0.02409987
3062.5,0.02395459
3067.5,0.02381218
3072.5,0.02366157
3077.5,0.02351472
3082.5,0.02338685
3087.5,0.02322719
3092.5,0.02308589
3097.5,0.02296192
3102.5,0.02280243
3107.5,0.0226123
3112.5,0.02248995
3117.5,0.02234619
3122.5,0.02220729
3127.5,0.02211379
3132.5,0.02202137
3137.5,0.02188449
3142.5,0.02172263
3147.5,0.02159613
3152.5,0.02146512
3157.5,0.02131932
3162.5,0.02118996
3167.5,0.02109692
3172.5,0.02096073
3177.5,0.02084095
3182.5,0.02073617
3187.5,0.02061816
3192.5,0.02048557
3197.5,0.02037675
3202.5,0.02024694
3207.5,0.02012241
3212.5,0.02000283
3217.5,0.01989776
3222.5,0.01976883
3227.5,0.01965395
3232.5,0.01952445
3237.5,0.01941313
3242.5,0.01929869
3247.5,0.01918783
3252.5,0.01907245
3257.5,0.0189761
3262.5,0.01886506
3267.5,0.01874572
3272.5,0.01862592
3277.5,0.01850959
3282.5,0.01834927
3287.5,0.01816249
3292.5,0.01804741
3297.5,0.01794979
3302.5,0.01784703
3307.5,0.01771793
3312.5,0.01768123
3317.5,0.01761464
3322.5,0.01751608
3327.5,0.01741523
3332.5,0.01733669
3337.5,0.01728684
3342.5,0.01718488
3347.5,0.01708993
3352.5,0.01698871
3357.5,0.01688338
3362.5,0.01678013
3367.5,0.0166876
3372.5,0.01659101
3377.5,0.01650012
3382.5,0.01640541
3387.5,0.01628384
3392.5,0.01618412
3397.5,0.01609072
3402.5,0.01598356
3407.5,0.01588479
3412.5,0.01581405
3417.5,0.01575672
3422.5,0.01567677
3427.5,0.01559926
3432.5,0.01553363
3437.5,0.01545119
3442.5,0.01537395
3447.5,0.01529803
3452.5,0.01521306
3457.5,0.0151251
3462.5,0.01503641
3467.5,0.01495327
3472.5,0.01487179
3477.5,0.0147883
3482.5,0.01470537
3487.5,0.01462875
3492.5,0.01455725
3497.5,0.01447867
3502.5,0.01440023
3507.5,0.01432226
3512.5,0.0142466
3517.5,0.01416857
3522.5,0.01408328
3527.5,0.01400173
3532.5,0.0139284
3537.5,0.01385553
3542.5,0.01377285
3547.5,0.01369144
3552.5,0.01362319
3557.5,0.01354987
3562.5,0.01347501
3567.5,0.01339393
3572.5,0.01332513
3577.5,0.01326501
3582.5,0.01319016
3587.5,0.01312361
3592.5,0.01305735
3597.5,0.01299377
3602.5,0.01293333
3607.5,0.01286717
3612.5,0.01280218
3617.5,0.01273869
3622.5,0.01267145
3627.5,0.01260002
3632.5,0.01252616
3637.5,0.01244699
3642.5,0.01236742
3647.5,0.01229714
3652.5,0.0122295
3657.5,0.01216091
3662.5,0.01209027
3667.5,0.01200694
3672.5,0.01195137
3677.5,0.01189221
3682.5,0.01179994
3687.5,0.01171118
3692.5,0.01163465
3697.5,0.01157175
3702.5,0.01152226
3707.5,0.01146153
3712.5,0.01140672
3717.5,0.01137756
3722.5,0.01130632
3727.5,0.01120995
3732.5,0.01113776
3737.5,0.01106982
3742.5,0.01100303
3747.5,0.01093938
3752.5,0.01088565
3757.5,0.01085787
3762.5,0.01084529
3767.5,0.01081633
3772.5,0.0107709
3777.5,0.01072113
3782.5,0.01066751
3787.5,0.01061401
3792.5,0.01056234
3797.5,0.01051648
3802.5,0.01046194
